stage,artifact_id,pdf_essential_artifact,canonical_path,status,accountable_role,exit_evidence
05,S05-A02,Domain capability map,docs/stages/stage_05/02_CAPABILITY_BOUNDED_CONTEXT_AND_CONTEXT_MAP.md,PRESENT_INTERNAL,Domain Owner,Capabilities and seams mapped
05,S05-A03,Business rules,docs/stages/stage_05/04_BUSINESS_RULES_AND_DECISION_TABLES.md,PARTIAL,Clinical Quality Owners,Synthetic rules need controlled owner policy
05,S05-A04,Decision model,docs/stages/stage_05/04_BUSINESS_RULES_AND_DECISION_TABLES.md,PRESENT_INTERNAL,Domain Owner,Decision tables separate authority
05,S05-A05,Domain events,docs/stages/stage_05/05_DOMAIN_EVENTS_AND_TEMPORAL_MODEL.md,PRESENT_INTERNAL,Domain Owner,Occurred and recorded times explicit
05,S05-A06,Ownership map,docs/stages/stage_05/03_AGGREGATES_OWNERSHIP_AND_AUTHORITY.md,PARTIAL,Clinical Quality Owners,Real decision owners unconfirmed
05,S05-A07,DDD context map,docs/stages/stage_05/02_CAPABILITY_BOUNDED_CONTEXT_AND_CONTEXT_MAP.md,PRESENT_INTERNAL,Domain Owner,Context relationships described
05,S05-A08,Bounded contexts,docs/stages/stage_05/02_CAPABILITY_BOUNDED_CONTEXT_AND_CONTEXT_MAP.md,PRESENT_INTERNAL,Domain Owner,Context contracts defined
05,S05-N01,Merged participant ubiquitous language glossary,docs/stages/05_model_the_domain/ubiquitous-language-glossary.md,COMPLETED,Domain Owner,Named-folder glossary completed; identity and authority terms aligned to code
05,S05-M01,AI intelligence (merged capability),src/fde_capstone/intelligence/exception_detector.py,VERIFIED,AI Governance Owner,Exception language uses ubiquitous identity and authority terms; no model discretion over state.
05,S05-M02,Identity reconciliation (merged capability),src/fde_capstone/reconciliation/patient_resolver.py,VERIFIED,Identity Owner,Patient keys stay source-specific until a human decides; glossary forbids silent merge.
05,S05-M03,Control Tower webapp (merged capability),src/fde_capstone/web/index.html,COMPLETED,Engineering Owner,Screens use glossary terms; authority stays in services not in the browser.
05,S05-M04,Governance and audit (merged capability),src/fde_capstone/services/audit_service.py,VERIFIED,AI Governance Owner,Aggregates and ownership map keep QA Release Authority human.
06,S06-A01,Data and knowledge inventories,docs/stages/stage_06/01_DATA_AND_KNOWLEDGE_INVENTORY.md,PRESENT_INTERNAL,Data Owner,Frozen synthetic sources inventoried
06,S06-A02,Lineage,docs/stages/stage_06/03_LINEAGE_PROVENANCE_AND_SOURCE_TRUST.md,PRESENT_INTERNAL,Data Owner,Source-to-decision chain designed
06,S06-A03,Quality profile,docs/stages/stage_06/02_DATA_QUALITY_PROFILE_AND_ISSUE_REGISTER.md,PRESENT_INTERNAL,Data Owner,Measured source anomalies
06,S06-A04,Provenance,docs/stages/stage_06/03_LINEAGE_PROVENANCE_AND_SOURCE_TRUST.md,PRESENT_INTERNAL,Data Owner,Locator and digest rules
06,S06-A05,Access matrix,docs/stages/stage_06/04_ACCESS_AND_PERMISSIBLE_USE_REGISTER.md,PARTIAL,Privacy Security Owners,Real data and provider use unresolved
06,S06-A06,Representativeness assessment,docs/stages/stage_06/05_REPRESENTATIVENESS_AND_DATA_GAP_REGISTER.md,PARTIAL,Data Owner,Synthetic data cannot prove external representativeness
06,S06-A07,Data-gap register,docs/stages/stage_06/05_REPRESENTATIVENESS_AND_DATA_GAP_REGISTER.md,PRESENT_INTERNAL,Data Owner,Unresolved ground truth and policy gaps recorded
06,S06-A08,Dataset datasheets,docs/stages/stage_06/06_DATASET_DATASHEETS_AND_SOP_REGISTER.md,PRESENT_INTERNAL,Data Owner,Grouped datasheets and controlled SOP status
06,S06-N01,Merged participant data lineage and quality profile,docs/stages/06_qualify_data_and_knowledge/data-lineage-and-quality-profile.md,COMPLETED,Data Owner,Named-folder lineage completed on frozen CSVs; not external representativeness
06,S06-M01,AI intelligence (merged capability),src/fde_capstone/intelligence/exception_detector.py,VERIFIED,AI Governance Owner,Exceptions are derived from lineage-located CSV fields; unknown stays unknown.
06,S06-M02,Identity reconciliation (merged capability),src/fde_capstone/reconciliation/patient_resolver.py,VERIFIED,Identity Owner,Resolver reads source_baseline CSVs; lineage locators remain the system of record.
06,S06-M03,Control Tower webapp (merged capability),src/fde_capstone/web/index.html,COMPLETED,Engineering Owner,UI reads located source fields; it is not a data-edit surface.
06,S06-M04,Governance and audit (merged capability),src/fde_capstone/services/audit_service.py,VERIFIED,AI Governance Owner,Access and permissible-use register is academic; real provider use unresolved.
07,S07-A01,Evaluation strategy,docs/stages/stage_07/01_EVALUATION_STRATEGY_AND_THRESHOLDS.md,PRESENT_INTERNAL,TEVV Owner,Frozen case strategy
07,S07-A02,Golden-set specification,docs/stages/stage_07/02_SCENARIO_CATALOG_AND_GOLDEN_SET.md,PRESENT_INTERNAL,TEVV Owner,Public synthetic seeds and label governance
07,S07-A03,Scenarios,docs/stages/stage_07/evaluation_catalog.json,PRESENT_INTERNAL,TEVV Owner,57 specified cases
07,S07-A04,Acceptance thresholds,docs/stages/stage_07/01_EVALUATION_STRATEGY_AND_THRESHOLDS.md,PARTIAL,TEVV Owner,Registered 20-client load not yet verified
07,S07-A05,AI impact assessment,docs/stages/stage_07/03_AI_SYSTEM_IMPACT_ASSESSMENT.md,PARTIAL,AI Governance Owner,Production intended-use review open
07,S07-A06,Risk and harms registers,docs/stages/stage_07/04_RISK_HARMS_AND_TREATMENT_REGISTER.md,PRESENT_INTERNAL,AI Governance Owner,Synthetic harm scenarios recorded
07,S07-A07,Risk treatment,docs/stages/stage_07/04_RISK_HARMS_AND_TREATMENT_REGISTER.md,PARTIAL,Clinical Quality Owners,Real residual risk acceptance unavailable
07,S07-A08,Oversight and transparency requirements,docs/stages/stage_07/05_HUMAN_OVERSIGHT_AND_REVIEW_PROTOCOL.md,PARTIAL,Human Factors Owner,Human-study evidence still inconclusive
07,S07-N01,Merged participant evaluation strategy,docs/stages/07_define_evaluations_impacts_and_risks/evaluation-strategy.md,COMPLETED,TEVV Owner,Named-folder evaluation strategy completed; independent assurance still external
07,S07-M01,AI intelligence (merged capability),src/fde_capstone/intelligence/exception_detector.py,VERIFIED,AI Governance Owner,Evaluation strategy covers exception properties; detector does not execute treatment.
07,S07-M02,Identity reconciliation (merged capability),src/fde_capstone/reconciliation/patient_resolver.py,VERIFIED,Identity Owner,EVAL-002 identity cases remain; resolver recommends and does not auto-merge.
07,S07-M03,Control Tower webapp (merged capability),src/fde_capstone/web/index.html,COMPLETED,Engineering Owner,Reviewer packet and exception queue are demonstration surfaces for EVAL cases.
07,S07-M04,Governance and audit (merged capability),src/fde_capstone/services/audit_service.py,VERIFIED,AI Governance Owner,Human oversight protocol exists; controlled human studies were not run.
08,S08-A01,Solution catalogue,docs/stages/stage_08/01_SOLUTION_OPTION_CATALOGUE.md,PRESENT_INTERNAL,Architecture Owner,Six solution options described
08,S08-A02,Reference-architecture comparison,docs/stages/stage_08/03_REFERENCE_AND_MODEL_PROVIDER_COMPARISON.md,PRESENT_INTERNAL,Architecture Owner,Patterns compared with safety trade-offs
08,S08-A03,PoC model and RAG results,docs/stages/stage_08/02_TECHNICAL_SPIKE_REPORT.md,PARTIAL,Architecture Owner,Deterministic spike results only; live model and RAG not selected
08,S08-A04,Weighted trade-off matrix,docs/stages/stage_08/06_WEIGHTED_TRADEOFF_AND_SELECTION.md,PRESENT_INTERNAL,Architecture Owner,Option score and selection recorded
08,S08-A05,Build-buy assessment,docs/stages/stage_08/04_BUILD_BUY_PARTNER_ANALYSIS.md,PRESENT_INTERNAL,Product Owner,No procurement decision claimed
08,S08-A06,Provider comparison,docs/stages/stage_08/03_REFERENCE_AND_MODEL_PROVIDER_COMPARISON.md,PARTIAL,Product Privacy Owners,Profiles only; no dated supplier diligence
08,S08-A07,Preliminary ADRs,docs/stages/stage_08/07_PRELIMINARY_ADRS.md,PRESENT_INTERNAL,Architecture Owner,Reversible decisions recorded
08,S08-A08,Selected solution,docs/stages/stage_08/09_G2_DECISION_RECORD.md,PRESENT_INTERNAL,Capstone Owner,Academic internal G2 only
08,S08-N01,Merged participant preliminary ADRs,docs/stages/08_generate_test_and_select_options/preliminary-adrs.md,COMPLETED,Architecture Owner,Named-folder ADRs completed as reversible academic decisions
08,S08-N02,Merged participant weighted trade-off matrix,docs/stages/08_generate_test_and_select_options/trade-off-matrix.md,COMPLETED,Architecture Owner,Named-folder trade-off matrix completed; no live provider selected
08,S08-M01,AI intelligence (merged capability),src/fde_capstone/intelligence/exception_detector.py,VERIFIED,AI Governance Owner,Selected option keeps deterministic intelligence; live model and RAG not selected.
08,S08-M02,Identity reconciliation (merged capability),src/fde_capstone/reconciliation/patient_resolver.py,VERIFIED,Identity Owner,Selected option keeps deterministic identity services; no model merge.
08,S08-M03,Control Tower webapp (merged capability),src/fde_capstone/web/index.html,COMPLETED,Engineering Owner,Packaged vanilla Control Tower is the selected demo UI; React web_frontend is a prototype drop.
08,S08-M04,Governance and audit (merged capability),src/fde_capstone/services/audit_service.py,VERIFIED,AI Governance Owner,G2 academic selection recorded; no procurement or live-supplier diligence.
09,S09-A01,Target data architecture,docs/stages/stage_09/01_INFORMATION_ARCHITECTURE.md,PRESENT_INTERNAL,Data Architecture Owner,Assertion and projection model
09,S09-A02,Data contracts,docs/stages/stage_09/02_DATA_EVENT_AND_EVIDENCE_CONTRACTS.md,PRESENT_INTERNAL,Data Architecture Owner,Machine-readable schema links
09,S09-A03,Semantic model,docs/stages/stage_09/01_INFORMATION_ARCHITECTURE.md,PRESENT_INTERNAL,Domain Data Owners,Typed IDs time authority and state
09,S09-A04,Metadata and provenance design,docs/stages/stage_09/02_DATA_EVENT_AND_EVIDENCE_CONTRACTS.md,PRESENT_INTERNAL,Data Architecture Owner,Envelope and provenance chain
09,S09-A05,Retrieval architecture,docs/stages/stage_10/03_AI_CONTEXT_AND_OUTPUT_DESIGN.md,CONDITIONAL_NOT_SELECTED,Architecture Owner,No RAG or vector retrieval selected
09,S09-A06,Data ADRs,docs/stages/stage_13/02_FINAL_ADRS.md,PARTIAL,Architecture Owner,Data decisions dispersed; full ADR rationale limited
09,S09-A07,Conditional ontology and graph-vector schemas,-,CONDITIONAL_NOT_SELECTED,Architecture Owner,Graph and vector store rejected for current POC
09,S09-N01,Merged participant semantic model and ontology,docs/stages/09_design_information_architecture/semantic-model-and-ontology.md,COMPLETED,Domain Data Owners,Named-folder semantic model completed; graph/vector store still not selected
09,S09-M01,AI intelligence (merged capability),src/fde_capstone/intelligence/exception_detector.py,VERIFIED,AI Governance Owner,Intelligence consumes typed assertions; graph/vector retrieval remains not selected.
09,S09-M02,Identity reconciliation (merged capability),src/fde_capstone/reconciliation/patient_resolver.py,VERIFIED,Identity Owner,Semantic contracts keep patient identifiers typed and non-fungible across sources.
09,S09-M03,Control Tower webapp (merged capability),src/fde_capstone/web/index.html,COMPLETED,Engineering Owner,UI consumes evidence contracts; it does not invent graph/vector views.
09,S09-M04,Governance and audit (merged capability),src/fde_capstone/services/audit_service.py,VERIFIED,AI Governance Owner,Evidence envelope and provenance chain are the audit contract.
10,S10-A01,Target C4 Context Container Component views,docs/stages/stage_10/05_TARGET_C4_BASELINE_AND_AS_BUILT_DELTA.md,PRESENT_INTERNAL,Architecture Owner,All three target levels explicitly drawn
10,S10-A02,AI and RAG architecture,docs/stages/stage_10/01_APPLICATION_AND_AI_ARCHITECTURE.md,CONDITIONAL_NOT_SELECTED,Architecture Owner,Bounded AI gateway present; RAG rejected
10,S10-A03,Model-routing design,docs/stages/stage_10/01_APPLICATION_AND_AI_ARCHITECTURE.md,PARTIAL,AI Governance Owner,Off and fake only; live provider not selected
10,S10-A04,API contracts,docs/stages/stage_10/02_API_COMPONENT_AND_FAILURE_DESIGN.md,PARTIAL,API Owner,Designed target routes exceed as-built API
10,S10-A05,Prompt and context design,docs/stages/stage_10/03_AI_CONTEXT_AND_OUTPUT_DESIGN.md,PRESENT_INTERNAL,AI Governance Owner,Bounded evidence allowlist and schema
10,S10-A06,Deployment topology,docs/stages/stage_10/01_APPLICATION_AND_AI_ARCHITECTURE.md,PARTIAL,Platform Owner,Local single-process only; production topology open
10,S10-A07,Failure-mode design,docs/stages/stage_10/02_API_COMPONENT_AND_FAILURE_DESIGN.md,PRESENT_INTERNAL,Architecture Owner,Unknown outage and fallback states
10,S10-A08,Architecture ADRs,docs/stages/stage_13/02_FINAL_ADRS.md,PARTIAL,Architecture Owner,Academic ADR decisions need fuller production rationale
10,S10-N01,Merged participant target C4 and RAG design,docs/stages/10_design_ai_and_application_architecture/target-c4-and-rag-design.md,COMPLETED,Architecture Owner,Named-folder C4/RAG note completed; RAG remains not selected for the POC
10,S10-N02,Merged participant target C4 container diagram,docs/stages/10_design_ai_and_application_architecture/target-c4-container-diagram.md,COMPLETED,Architecture Owner,Named-folder container view completed for the academic single-process app
10,S10-N03,Merged participant target C4 context diagram,docs/stages/10_design_ai_and_application_architecture/target-c4-context-diagram.md,COMPLETED,Architecture Owner,Named-folder context view completed; not a field-validated enterprise topology
10,S10-M01,AI intelligence (merged capability),src/fde_capstone/intelligence/digital_twin.py,VERIFIED,AI Governance Owner,Digital twin and exception APIs are in the target C4; RAG remains rejected.
10,S10-M02,Identity reconciliation (merged capability),src/fde_capstone/reconciliation/patient_resolver.py,VERIFIED,Identity Owner,API exposes /reconcile/patient behind bearer read; Control Tower uses /api/governance/identity.
10,S10-M03,Control Tower webapp (merged capability),src/fde_capstone/web/index.html,COMPLETED,Engineering Owner,As-built Control Tower is the academic container UI; not an enterprise topology.
10,S10-M04,Governance and audit (merged capability),src/fde_capstone/services/audit_service.py,VERIFIED,AI Governance Owner,API authorization and audit append are in the as-built C4.
11,S11-A01,Agent-suitability assessment,docs/stages/stage_11/02_AGENT_SUITABILITY_AND_STAGE_REVIEW.md,PRESENT_INTERNAL,AI Governance Owner,Multi-agent explicitly rejected
11,S11-A02,Autonomy-level ADR,docs/stages/stage_13/02_FINAL_ADRS.md,PRESENT_INTERNAL,AI Governance Owner,Read-recommend only
11,S11-A03,Agent responsibility map,docs/stages/stage_11/01_AGENTIC_ORCHESTRATION_DESIGN.md,PRESENT_INTERNAL,AI Governance Owner,One assistant and human/service responsibilities
11,S11-A04,Orchestration topology,docs/stages/stage_11/01_AGENTIC_ORCHESTRATION_DESIGN.md,PRESENT_INTERNAL,Architecture Owner,Assistant outside authority path
11,S11-A05,Agent interaction and sequence diagram,docs/stages/stage_11/01_AGENTIC_ORCHESTRATION_DESIGN.md,PRESENT_INTERNAL,Architecture Owner,Human-orchestrator-assistant sequence
11,S11-A06,State-machine model,docs/stages/stage_05/06_CANONICAL_STATE_MACHINES.md,PARTIAL,Domain Owner,Domain machines exist; assistant loop is single-call only
11,S11-A07,Tool and action catalogue,docs/stages/stage_11/01_AGENTIC_ORCHESTRATION_DESIGN.md,PRESENT_INTERNAL,AI Governance Owner,Consequential tools denied
11,S11-A08,Identity and permission matrix,docs/stages/stage_12/02_SECURITY_PRIVACY_AND_GUARDRAIL_CONTROLS.md,PARTIAL,Security Owner,Roles and scopes dispersed across policy and code
11,S11-A09,Shared-memory design,docs/stages/stage_11/01_AGENTIC_ORCHESTRATION_DESIGN.md,CONDITIONAL_NOT_SELECTED,AI Governance Owner,Request-scoped context only; no shared long-term memory
11,S11-A10,Handoff protocol,docs/stages/stage_11/01_AGENTIC_ORCHESTRATION_DESIGN.md,PRESENT_INTERNAL,Operations Owner,Assistant suggestion cannot execute handoff
11,S11-A11,Termination and loop controls,docs/stages/stage_11/01_AGENTIC_ORCHESTRATION_DESIGN.md,PRESENT_INTERNAL,AI Governance Owner,One call schema check and deterministic fallback
11,S11-A12,Human approval override and escalation matrix,docs/stages/stage_07/05_HUMAN_OVERSIGHT_AND_REVIEW_PROTOCOL.md,PARTIAL,Human Factors Owner,Policy defined; independent human study absent
11,S11-N01,Merged participant agent bounded-autonomy design,docs/stages/11_design_agentic_and_multi_agent_orchestration/agent-bounded-autonomy.md,COMPLETED,AI Governance Owner,Named-folder bounded autonomy completed; multi-agent remains rejected
11,S11-M01,AI intelligence (merged capability),src/fde_capstone/services/intelligence.py,VERIFIED,AI Governance Owner,Bounded ranking assistant only; no multi-agent loop or consequential tool.
11,S11-M02,Identity reconciliation (merged capability),src/fde_capstone/reconciliation/patient_resolver.py,VERIFIED,Identity Owner,Assistant may describe a conflict; it cannot execute identity merge or handoff.
11,S11-M03,Control Tower webapp (merged capability),src/fde_capstone/web/index.html,COMPLETED,Engineering Owner,Copilot/assistant UI is recommendation-only and off by default.
11,S11-M04,Governance and audit (merged capability),src/fde_capstone/services/audit_service.py,VERIFIED,AI Governance Owner,Handoff and termination keep the assistant outside the authority path.
12,S12-A01,Threat model,docs/stages/stage_12/01_THREAT_MODEL.md,PRESENT_INTERNAL,Security Owner,Twelve local POC threats
12,S12-A02,Agentic attack-surface map,docs/stages/stage_12/01_THREAT_MODEL.md,PARTIAL,Security Owner,Single assistant surface; no standalone map
12,S12-A03,Trust boundaries,docs/stages/stage_12/01_THREAT_MODEL.md,PRESENT_INTERNAL,Security Owner,Six boundaries listed
12,S12-A04,Abuse cases,docs/stages/stage_12/01_THREAT_MODEL.md,PRESENT_INTERNAL,Security Owner,Prompt role replay and tamper abuse
12,S12-A05,OWASP mapping,docs/stages/stage_12/05_OWASP_2026_RISK_MAPPING.md,PARTIAL,Security Owner,Academic mapping exists; independent review and live-model testing needed
12,S12-A06,Guardrail architecture,docs/stages/stage_12/02_SECURITY_PRIVACY_AND_GUARDRAIL_CONTROLS.md,PRESENT_INTERNAL,Security Owner,Schema authority evidence and fallback controls
12,S12-A07,Control matrix,docs/stages/stage_12/02_SECURITY_PRIVACY_AND_GUARDRAIL_CONTROLS.md,PRESENT_INTERNAL,Security Owner,POC implementation versus production gap
12,S12-A08,Supplier and model assessment,docs/stages/stage_12/03_SUPPLIER_SBOM_AIBOM_AND_EXIT_PLAN.md,CONDITIONAL_NOT_SELECTED,Supplier Privacy Owners,No live model or SaaS supplier selected
12,S12-A09,Model and system cards,docs/stages/stage_12/06_ACADEMIC_AI_SYSTEM_CARD.md,PARTIAL,AI Governance Owner,Academic system card exists; provider model card and governance approval absent
12,S12-A10,Component register,docs/stages/stage_14/SBOM.json,PRESENT_INTERNAL,Platform Owner,Academic dependency manifest
12,S12-A11,SBOM and AIBOM,docs/stages/stage_14/AIBOM.json,PRESENT_INTERNAL,Platform AI Owners,Unsigned academic SBOM and AIBOM
12,S12-A12,Exit plan,docs/stages/stage_12/03_SUPPLIER_SBOM_AIBOM_AND_EXIT_PLAN.md,PRESENT_INTERNAL,Supplier Owner,AI-off portability and future credential revocation
